giorno,ora,ora_label,car,bus,truck,total
2026-04-10,800,08:00,217,1,22,240
2026-04-10,900,09:00,670,2,52,724
2026-04-10,1000,10:00,1257,6,100,1363
2026-04-10,1100,11:00,1661,10,106,1777
2026-04-10,1200,12:00,1803,17,79,1899
2026-04-10,1300,13:00,2069,20,125,2214
2026-04-10,1400,14:00,2062,15,107,2185
2026-04-10,1500,15:00,2055,11,90,2156
2026-04-10,1600,16:00,2046,17,101,2164
2026-04-10,1700,17:00,2105,16,121,2242
2026-04-10,1800,18:00,2187,18,128,2333
2026-04-10,1900,19:00,2258,14,96,2368
2026-04-10,2000,20:00,1845,14,73,1931
2026-04-10,2100,21:00,1474,13,52,1539
2026-04-10,2200,22:00,672,10,31,713
2026-04-11,800,08:00,276,6,54,336
2026-04-11,900,09:00,836,10,71,917
2026-04-11,1000,10:00,1656,13,89,1758
2026-04-11,1100,11:00,2044,6,104,2154
2026-04-11,1200,12:00,2260,12,83,2355
2026-04-11,1300,13:00,2236,14,75,2326
2026-04-11,1400,14:00,2315,14,49,2378
2026-04-11,1500,15:00,2391,12,55,2459
2026-04-11,1600,16:00,2257,6,82,2345
2026-04-11,1700,17:00,2152,8,67,2227
2026-04-11,1800,18:00,2164,17,90,2271
2026-04-11,1900,19:00,2158,24,116,2298
2026-04-11,2000,20:00,2228,11,86,2325
2026-04-11,2100,21:00,1796,13,74,1883
2026-04-11,2200,22:00,1076,14,49,1139
2026-04-12,800,08:00,313,12,37,362
2026-04-12,900,09:00,1003,17,76,1096
2026-04-12,1000,10:00,1920,24,85,2029
2026-04-12,1100,11:00,2446,16,89,2551
2026-04-12,1200,12:00,2566,21,97,2684
2026-04-12,1300,13:00,2516,28,92,2636
2026-04-12,1400,14:00,2652,22,83,2757
2026-04-12,1500,15:00,2621,19,65,2705
2026-04-12,1600,16:00,2793,17,72,2882
2026-04-12,1700,17:00,2783,15,85,2883
2026-04-12,1800,18:00,2829,12,111,2952
2026-04-12,1900,19:00,2761,14,133,2908
2026-04-12,2000,20:00,2196,15,69,2280
2026-04-12,2100,21:00,1474,12,59,1545
2026-04-12,2200,22:00,556,11,38,605
