giorno,ora,ora_label,area,car,bus,truck,total
2026-04-10,800,08:00,Area 1,2,0,1,3
2026-04-10,800,08:00,Area 10,11,0,5,16
2026-04-10,800,08:00,Area 2,0,0,0,1
2026-04-10,800,08:00,Area 3,11,0,0,11
2026-04-10,800,08:00,Area 4,56,0,4,60
2026-04-10,800,08:00,Area 5,99,0,3,102
2026-04-10,800,08:00,Area 6,23,0,7,30
2026-04-10,800,08:00,Area 7,21,1,2,23
2026-04-10,800,08:00,Area 9,5,0,0,5
2026-04-10,900,09:00,Area 1,3,0,2,5
2026-04-10,900,09:00,Area 10,17,0,8,24
2026-04-10,900,09:00,Area 2,0,0,0,1
2026-04-10,900,09:00,Area 3,18,0,0,18
2026-04-10,900,09:00,Area 4,384,0,26,411
2026-04-10,900,09:00,Area 5,120,0,3,123
2026-04-10,900,09:00,Area 6,24,0,7,30
2026-04-10,900,09:00,Area 7,75,2,6,83
2026-04-10,900,09:00,Area 9,6,0,0,6
2026-04-10,1000,10:00,Area 1,3,0,2,5
2026-04-10,1000,10:00,Area 10,28,0,13,41
2026-04-10,1000,10:00,Area 2,1,0,1,2
2026-04-10,1000,10:00,Area 3,16,0,0,16
2026-04-10,1000,10:00,Area 4,905,1,62,968
2026-04-10,1000,10:00,Area 5,111,0,3,114
2026-04-10,1000,10:00,Area 6,24,0,7,31
2026-04-10,1000,10:00,Area 7,155,5,12,172
2026-04-10,1000,10:00,Area 9,2,0,0,2
2026-04-10,1100,11:00,Area 1,3,0,2,5
2026-04-10,1100,11:00,Area 10,35,1,11,47
2026-04-10,1100,11:00,Area 2,1,0,1,2
2026-04-10,1100,11:00,Area 3,16,0,1,17
2026-04-10,1100,11:00,Area 4,1208,3,69,1280
2026-04-10,1100,11:00,Area 5,105,0,5,110
2026-04-10,1100,11:00,Area 6,23,1,5,29
2026-04-10,1100,11:00,Area 7,223,5,12,240
2026-04-10,1100,11:00,Area 9,2,0,0,2
2026-04-10,1200,12:00,Area 1,2,0,2,4
2026-04-10,1200,12:00,Area 10,37,5,15,57
2026-04-10,1200,12:00,Area 2,0,0,1,1
2026-04-10,1200,12:00,Area 3,16,0,0,16
2026-04-10,1200,12:00,Area 4,1365,5,45,1415
2026-04-10,1200,12:00,Area 5,83,1,5,89
2026-04-10,1200,12:00,Area 6,23,0,3,26
2026-04-10,1200,12:00,Area 7,231,6,8,245
2026-04-10,1200,12:00,Area 9,3,0,0,3
2026-04-10,1300,13:00,Area 1,4,0,1,5
2026-04-10,1300,13:00,Area 10,58,1,17,76
2026-04-10,1300,13:00,Area 2,0,0,1,1
2026-04-10,1300,13:00,Area 3,16,0,0,16
2026-04-10,1300,13:00,Area 4,1572,10,84,1666
2026-04-10,1300,13:00,Area 5,104,0,5,109
2026-04-10,1300,13:00,Area 6,27,1,3,31
2026-04-10,1300,13:00,Area 7,264,8,13,285
2026-04-10,1300,13:00,Area 9,2,0,1,3
2026-04-10,1400,14:00,Area 1,2,0,1,4
2026-04-10,1400,14:00,Area 10,48,1,17,66
2026-04-10,1400,14:00,Area 2,0,0,1,1
2026-04-10,1400,14:00,Area 3,12,0,0,12
2026-04-10,1400,14:00,Area 4,1588,6,70,1664
2026-04-10,1400,14:00,Area 5,96,0,4,100
2026-04-10,1400,14:00,Area 6,26,0,2,28
2026-04-10,1400,14:00,Area 7,256,8,12,276
